MANDANT [C(00006)]`OBJECTCLAS [C(00030)]`OBJECTID [C(00180)]`CHANGENR [C(00020)]`TABNAME [C(00060)]`TABKEY [C(00140)]`FNAME [C(00060)]`CHNGIND [C(00002)]`TEXT_CASE [C(00002)]`UNIT_OLD [C(00006)]`UNIT_NEW [C(00006)]`CUKY_OLD [C(00010)]`CUKY_NEW [C(00010)]`VALUE_NEW [C(00508)]`VALUE_OLD [C(00508)]
400`  PFCG`  SAPOS_SD_LORD_ODATA_ORDER`  0000239451`  AGR_USERS`  400SAPOS_SD_LORD_ODATA_ORDER     SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_RESOLVE_CREDIT_BLOCK`  0000239452`  AGR_USERS`  400SAPOS_SD_RESOLVE_CREDIT_BLOCK SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_SOFM_INVOICE`  0000239453`  AGR_USERS`  400SAPOS_SD_SOFM_INVOICE         SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SEFS_ADMIN`  0000239454`  AGR_USERS`  400SAP_BC_SEFS_ADMIN             SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SES_ADMIN`  0000239455`  AGR_USERS`  400SAP_BC_SES_ADMIN              SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT`  0000239456`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT          SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT_US`  0000239457`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT_US       SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_ADMINISTRATOR_RCP_DEV`  0000239458`  AGR_USERS`  400SAP_BR_ADMINISTRATOR_RCP_DEV  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT`  0000239459`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT          SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT_PROCUREMT`  0000239460`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT_PROCUREMTSAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_MANAGER`  0000239461`  AGR_USERS`  400SAP_BR_AP_MANAGER             SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AR_ACCOUNTANT`  0000239462`  AGR_USERS`  400SAP_BR_AR_ACCOUNTANT          SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AR_MANAGER`  0000239463`  AGR_USERS`  400SAP_BR_AR_MANAGER             SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BILLING_CLERK`  0000239464`  AGR_USERS`  400SAP_BR_BILLING_CLERK          SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BOM_ENGINEER`  0000239465`  AGR_USERS`  400SAP_BR_BOM_ENGINEER           SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BPC_EXPERT`  0000239466`  AGR_USERS`  400SAP_BR_BPC_EXPERT             SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BUPA_MASTER_SPECIALIST`  0000239467`  AGR_USERS`  400SAP_BR_BUPA_MASTER_SPECIALIST SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BUYER`  0000239468`  AGR_USERS`  400SAP_BR_BUYER                  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_CASH_SPECIALIST`  0000239469`  AGR_USERS`  400SAP_BR_CASH_SPECIALIST        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_CREDIT_CONTROLLER`  0000239470`  AGR_USERS`  400SAP_BR_CREDIT_CONTROLLER      SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_DESIGN_ENGINEER`  0000239471`  AGR_USERS`  400SAP_BR_DESIGN_ENGINEER        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_DEVELOPMENT_MANAGER_DIN`  0000239472`  AGR_USERS`  400SAP_BR_DEVELOPMENT_MANAGER_DINSAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_EMPLOYEE_PROCUREMENT`  0000239473`  AGR_USERS`  400SAP_BR_EMPLOYEE_PROCUREMENT   SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_GL_ACCOUNTANT`  0000239474`  AGR_USERS`  400SAP_BR_GL_ACCOUNTANT          SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_INTERNAL_SALES_REP`  0000239475`  AGR_USERS`  400SAP_BR_INTERNAL_SALES_REP     SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_INVENTORY_MANAGER`  0000239476`  AGR_USERS`  400SAP_BR_INVENTORY_MANAGER      SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MAINTENANCE_PLANNER`  0000239477`  AGR_USERS`  400SAP_BR_MAINTENANCE_PLANNER    SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MAINTENANCE_TECHNICIAN`  0000239478`  AGR_USERS`  400SAP_BR_MAINTENANCE_TECHNICIAN SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MATL_PLNR_EXT_PROC`  0000239479`  AGR_USERS`  400SAP_BR_MATL_PLNR_EXT_PROC     SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MD_SPECIALIST_RAW_SUBST`  0000239480`  AGR_USERS`  400SAP_BR_MD_SPECIALIST_RAW_SUBSTSAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_OVERHEAD_ACCOUNTANT`  0000239481`  AGR_USERS`  400SAP_BR_OVERHEAD_ACCOUNTANT    SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODMASTER_SPECIALIST`  0000239482`  AGR_USERS`  400SAP_BR_PRODMASTER_SPECIALIST  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ACCOUNTANT`  0000239483`  AGR_USERS`  400SAP_BR_PRODN_ACCOUNTANT       SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ENG_DISC`  0000239484`  AGR_USERS`  400SAP_BR_PRODN_ENG_DISC         SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ENG_PROC`  0000239485`  AGR_USERS`  400SAP_BR_PRODN_ENG_PROC         SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_DISC`  0000239486`  AGR_USERS`  400SAP_BR_PRODN_OPTR_DISC        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_PROC`  0000239487`  AGR_USERS`  400SAP_BR_PRODN_OPTR_PROC        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_RPTV`  0000239488`  AGR_USERS`  400SAP_BR_PRODN_OPTR_RPTV        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_PLNR`  0000239489`  AGR_USERS`  400SAP_BR_PRODN_PLNR             SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_PLNR_LEAN_MFG`  0000239490`  AGR_USERS`  400SAP_BR_PRODN_PLNR_LEAN_MFG    SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_DISC`  0000239491`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_DISC  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_PROC`  0000239492`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_PROC  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_RPTV`  0000239493`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_RPTV  SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODUCT_CONFIG_MODELER`  0000239494`  AGR_USERS`  400SAP_BR_PRODUCT_CONFIG_MODELER SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PURCHASER`  0000239495`  AGR_USERS`  400SAP_BR_PURCHASER              SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PURCHASING_MANAGER`  0000239496`  AGR_USERS`  400SAP_BR_PURCHASING_MANAGER     SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_RECEIVING_SPECIALIST`  0000239497`  AGR_USERS`  400SAP_BR_RECEIVING_SPECIALIST   SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_RECIPE_DEVELOPER`  0000239498`  AGR_USERS`  400SAP_BR_RECIPE_DEVELOPER       SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_SHIPPING_SPECIALIST`  0000239499`  AGR_USERS`  400SAP_BR_SHIPPING_SPECIALIST    SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_WAREHOUSE_CLERK`  0000239500`  AGR_USERS`  400SAP_BR_WAREHOUSE_CLERK        SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_FIN_BANK_APP`  0000239501`  AGR_USERS`  400SAP_FIN_BANK_APP              SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_FND_TCR_T`  0000239502`  AGR_USERS`  400SAP_FND_TCR_T                 SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_MDGA_MENU`  0000239503`  AGR_USERS`  400SAP_MDGA_MENU                 SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_MDG_ADMIN`  0000239504`  AGR_USERS`  400SAP_MDG_ADMIN                 SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_SD_SOFM_DLV_APP`  0000239505`  AGR_USERS`  400SAP_SD_SOFM_DLV_APP           SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_SD_SOFULFIL_MON_APP`  0000239506`  AGR_USERS`  400SAP_SD_SOFULFIL_MON_APP       SAP554      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  ZSAPTEXT`  0000239507`  AGR_USERS`  400ZSAPTEXT                      SAP554      2020112799991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_LORD_ODATA_ORDER`  0000239545`  AGR_USERS`  400SAPOS_SD_LORD_ODATA_ORDER     SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_RESOLVE_CREDIT_BLOCK`  0000239546`  AGR_USERS`  400SAPOS_SD_RESOLVE_CREDIT_BLOCK SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_SOFM_INVOICE`  0000239547`  AGR_USERS`  400SAPOS_SD_SOFM_INVOICE         SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SEFS_ADMIN`  0000239548`  AGR_USERS`  400SAP_BC_SEFS_ADMIN             SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SES_ADMIN`  0000239549`  AGR_USERS`  400SAP_BC_SES_ADMIN              SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT`  0000239550`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT          SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT_US`  0000239551`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT_US       SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_ADMINISTRATOR_RCP_DEV`  0000239552`  AGR_USERS`  400SAP_BR_ADMINISTRATOR_RCP_DEV  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT`  0000239553`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT          SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT_PROCUREMT`  0000239554`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT_PROCUREMTSAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_MANAGER`  0000239555`  AGR_USERS`  400SAP_BR_AP_MANAGER             SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AR_ACCOUNTANT`  0000239556`  AGR_USERS`  400SAP_BR_AR_ACCOUNTANT          SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AR_MANAGER`  0000239557`  AGR_USERS`  400SAP_BR_AR_MANAGER             SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BILLING_CLERK`  0000239558`  AGR_USERS`  400SAP_BR_BILLING_CLERK          SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BOM_ENGINEER`  0000239559`  AGR_USERS`  400SAP_BR_BOM_ENGINEER           SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BPC_EXPERT`  0000239560`  AGR_USERS`  400SAP_BR_BPC_EXPERT             SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BUPA_MASTER_SPECIALIST`  0000239561`  AGR_USERS`  400SAP_BR_BUPA_MASTER_SPECIALIST SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_BUYER`  0000239562`  AGR_USERS`  400SAP_BR_BUYER                  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_CASH_SPECIALIST`  0000239563`  AGR_USERS`  400SAP_BR_CASH_SPECIALIST        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_CREDIT_CONTROLLER`  0000239564`  AGR_USERS`  400SAP_BR_CREDIT_CONTROLLER      SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_DESIGN_ENGINEER`  0000239565`  AGR_USERS`  400SAP_BR_DESIGN_ENGINEER        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_DEVELOPMENT_MANAGER_DIN`  0000239566`  AGR_USERS`  400SAP_BR_DEVELOPMENT_MANAGER_DINSAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_EMPLOYEE_PROCUREMENT`  0000239567`  AGR_USERS`  400SAP_BR_EMPLOYEE_PROCUREMENT   SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_GL_ACCOUNTANT`  0000239568`  AGR_USERS`  400SAP_BR_GL_ACCOUNTANT          SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_INTERNAL_SALES_REP`  0000239569`  AGR_USERS`  400SAP_BR_INTERNAL_SALES_REP     SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_INVENTORY_MANAGER`  0000239570`  AGR_USERS`  400SAP_BR_INVENTORY_MANAGER      SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MAINTENANCE_PLANNER`  0000239571`  AGR_USERS`  400SAP_BR_MAINTENANCE_PLANNER    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MAINTENANCE_TECHNICIAN`  0000239572`  AGR_USERS`  400SAP_BR_MAINTENANCE_TECHNICIAN SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MATL_PLNR_EXT_PROC`  0000239573`  AGR_USERS`  400SAP_BR_MATL_PLNR_EXT_PROC     SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MD_SPECIALIST_RAW_SUBST`  0000239574`  AGR_USERS`  400SAP_BR_MD_SPECIALIST_RAW_SUBSTSAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_OVERHEAD_ACCOUNTANT`  0000239575`  AGR_USERS`  400SAP_BR_OVERHEAD_ACCOUNTANT    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODMASTER_SPECIALIST`  0000239576`  AGR_USERS`  400SAP_BR_PRODMASTER_SPECIALIST  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ACCOUNTANT`  0000239577`  AGR_USERS`  400SAP_BR_PRODN_ACCOUNTANT       SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
