CLIENT [C(00006)]`OBJECT [C(00020)]`SUBOBJECT [C(00012)]`NRRANGENR [C(00004)]`TOYEAR [C(00008)]`FROMNUMBER [C(00040)]`TONUMBER [C(00040)]`NRLEVEL [C(00040)]`EXTERNIND [C(00002)]
400`  ANLAGENNR`  0001`  01`  0000`  000000010000`  000000019999`  00000000000000000000`
400`  ANLAGENNR`  0001`  02`  0000`  000000020000`  000000029999`  00000000000000000000`
400`  ANLAGENNR`  0001`  03`  0000`  000000030000`  000000039999`  00000000000000000000`
400`  ANLAGENNR`  0001`  04`  0000`  000000040000`  000000049999`  00000000000000000000`
400`  ANLAGENNR`  0001`  05`  0000`  000000100000`  000000199999`  00000000000000000000`
400`  ANLAGENNR`  0001`  08`  0000`  000000080000`  000000089999`  00000000000000000000`
400`  ANLAGENNR`  0001`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  0077`  01`  0000`  000000000001`  000000001000`  00000000000000000000`
400`  ANLAGENNR`  0077`  02`  0000`  000000001001`  000000002000`  00000000000000000000`
400`  ANLAGENNR`  0077`  03`  0000`  000000002001`  000000003000`  00000000000000000000`
400`  ANLAGENNR`  1010`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  02`  0000`  000020000000`  000029999999`  00000000000020000000`
400`  ANLAGENNR`  1010`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1010`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1010`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1110`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1110`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1110`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1210`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1210`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1210`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1310`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  03`  0000`  000030000000`  000039999999`  00000000000030000011`
400`  ANLAGENNR`  1310`  04`  0000`  000040000000`  000049999999`  00000000000040000000`
400`  ANLAGENNR`  1310`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1310`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1310`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1410`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1410`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1410`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1510`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1510`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1610`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1610`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1710`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
