PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-100BHINS4CORE`  S4CORE 100 Update: Meta-Commandfile`  I`  20150705`  750`  20150521`  130000`  100`  S4CORE
SAPK-101BHINS4CORE`  S4CORE 101 Update: Meta-Commandfile`  I`  20160426`  751`  20160426`  130000`  101`  S4CORE
SAPK-20001INBSNAGT`  BSNAGT 200: SP 0001`  I`  20141014`  750`  20141013`  132630`  200`  BSNAGT
SAPK-20002INBSNAGT`  BSNAGT 200: SP 0002`  I`  20160805`  751`  201`  065101`  200`  BSNAGT
SAPK-200AGINBSNAGT`  BSNAGT 200: Add-On Installation`  I`  20140725`  750`  20140723`  130236`  `
SAPK-60001INERECRUIT`  ERECRUIT 600: patch 0001`  I`  20060208`  700`  200`  181002`  600`  ERECRUIT
SAPK-75201INSAPGWFND`  SAP_GWFND 752: SP 0001`  I`  20180308`  752`  20171211`  152147`  752`  SAP_GWFND
SAPK-60001INFICAX`  SP 01 for FI-CAX 600`  I`  20051024`  700`  20051024`  000001`  600`  FI-CAX
SAPK-60001INGBX01HR`  GBX01HR 600: Support Package 0001`  I`  20150713`  750`  20150601`  071318`  600`  GBX01HR
SAPK-60001ININSURANC`  SP 01 for INSURANCE 600`  I`  20051024`  700`  20051024`  000001`  600`  INSURANCE
SAPK-60001INISH`  SP 01 for IS-H 600`  I`  20051024`  700`  20051024`  000001`  600`  IS-H
SAPK-60001INISM`  SP 01 for IS-M 600`  I`  20051024`  700`  20051024`  000001`  600`  IS-M
SAPK-60001INISOIL`  SP 01 for IS-OIL 600`  I`  20051024`  700`  20051024`  000001`  600`  IS-OIL
SAPK-60001INISPSCA`  SP 01 for IS-PS-CA 600`  I`  20051024`  700`  20051024`  000001`  600`  IS-PS-CA
SAPK-60001INISUT`  SP 01 for IS-U/T 600`  I`  20051024`  700`  20051024`  000001`  600`  IS-UT
SAPK-60001INLSOFE`  LSOFE 600: patch 0001`  I`  20060208`  700`  200`  180952`  600`  LSOFE
SAPK-60001INSRA004`  SRA004 600: Support Package 0001`  I`  20160627`  751`  20130722`  105106`  600`  SRA004
SAPK-60002INERECRUIT`  ERECRUIT 600: patch 0002`  I`  20060208`  700`  200`  181003`  600`  ERECRUIT
SAPKITAB9S`  Servicetools for SAP Basis 731 and higher`  I`  20170522`  752`  20170407`  083939`  01S_731`  ST-A/PI
