DESCRIPT [C(00144)]`INSTSTATUS [C(00002)]
SAP SCREEN PERSONAS 3.0`  -
SAP FIORI FRONT-END SERVER 4.0`  -
SAP S/4HANA FOR CUST MGMT 1.0`  -
NW 7.52 FOR S/4HANA 1709`  -
ABAP PLATFORM 1809`  -
SAP FIORI FOR SAP S/4HANA 1809`  -
SAP FIORI FRONT-END SERVER 5.0`  -
SAP FIORI FOR SAP ERP HCM 1.0`  -
SAP S/4HANA 1610`  -
SAP S/4HANA 1709`  -
SAP FIORI FOR SAP S/4HANA 1709`  -
SAP S/4HANA 1809`  -
SAP S/4HANA FOR CUST MGMT 2.0`  -
SAP S/4HANA FOUNDATION 1809`  -
SAP S/4HANA 1909`  +
ABAP PLATFORM 1909`  +
SAP S/4HANA FOUNDATION 1909`  +
SAP FIORI FOR SAP S/4HANA 1909`  +
SAP FIORI FRONT-END SERVER 6.0`  +
