MANDT [C(00006)]`KTOPL [C(00008)]`KTOSL [C(00006)]`BWMOD [C(00008)]`KOMOK [C(00006)]`BKLAS [C(00008)]`KONTS [C(00020)]`KONTH [C(00020)]
400`  CASK`  FRL`  0001`  `  `  `
400`  CASK`  FRN`  0001`  `  `  `
400`  CATW`  FRL`  0001`  `  `  `
400`  CATW`  FRN`  0001`  `  `  `
400`  CATW`  WRY`  0001`  `  `  `
400`  `  FRL`  0001`  `  `  0000040060`  0000040060
400`  `  FRN`  0001`  `  `  0000040070`  0000040070
400`  `  RAP`  0001`  `  `  0000068430`  0000087030
400`  `  WRX`  0001`  `  `  0000098210`  0000098210
400`  `  WRY`  0001`  `  `  0000098220`  0000098220
400`  CABE`  AKO`  0001`  `  `  0000648010`  0000748010
400`  CABE`  AUM`  0001`  `  `  0000649010`  0000749010
400`  CABE`  DIF`  0001`  `  `  0000668010`  0000668010
400`  CABE`  FR1`  0001`  `  `  0000444010`  0000444010
400`  CABE`  FR2`  0001`  `  `  0000444020`  0000444020
400`  CABE`  FR3`  0001`  `  `  0000444030`  0000444030
400`  CABE`  FRL`  0001`  `  `  0000603000`  0000603000
400`  CABE`  FRN`  0001`  `  `  0000603010`  0000603010
400`  CABE`  KDR`  0001`  `  `  0000668020`  0000668020
400`  CABE`  KON`  0001`  `  `  0000444050`  0000444050
400`  CABE`  RUE`  0001`  `  `  0000444040`  0000444040
400`  CABE`  UMB`  0001`  `  `  0000660200`  0000760100
400`  CABE`  WRX`  0001`  `  `  0000444000`  0000444000
400`  CACH`  FRL`  0001`  `  `  0000040060`  0000040060
400`  CACH`  FRN`  0001`  `  `  0000040060`  0000040060
400`  CACH`  RAP`  0001`  `  `  0000068430`  0000068930
400`  CACH`  WRX`  0001`  `  `  0000098210`  0000098210
400`  CACH`  WRY`  0001`  `  `  0000098220`  0000098220
400`  CACN`  FRL`  0001`  `  `  0051410400`  0051410400
400`  CACN`  FRN`  0001`  `  `  `
400`  CACN`  WRX`  0001`  `  `  0014010000`  0014010000
400`  CACN`  WRY`  0001`  `  `  `
400`  CACO`  AUM`  0001`  `  `  0053959500`  0042109500
400`  CACO`  RAP`  0001`  `  `  0053052500`  0042102000
400`  CACO`  WRX`  0001`  `  `  0014650300`  0014650300
400`  CACO`  WRY`  0001`  `  `  0014659500`  0014659500
400`  CACZ`  FRL`  0001`  `  `  `
400`  CACZ`  FRN`  0001`  `  `  `
400`  CAES`  AKO`  0001`  `  `  0000678200`  0000778200
400`  CAES`  AUM`  0001`  `  `  0000678000`  0000778000
400`  CAES`  BSV`  0001`  `  `  0000610000`  0000610000
