MANDT [C(00006)]`KTOKK [C(00008)]`FAUSA [C(00080)]`FAUSF [C(00080)]`FAUSM [C(00080)]`FAUS1 [C(00080)]`FAUSW [C(00080)]`FAUST [C(00080)]`FAUS2 [C(00080)]`FAUSU [C(00080)]`FAUSG [C(00080)]`FAUSN [C(00080)]`FAUSX [C(00080)]
400`  0001`  +.+........--+................+.........`  ......*.**...-...............*..........`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  0002`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0003`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0004`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0005`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0006`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0007`  +.+........--.................+.........`  .............-..........................`  ....-....................-..............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  0012`  +....+.....--+...............-+----.....`  .............-......-.-...........--...-`  ----------------..---..--.--------..-.--`  ............................-------.....`  ---------------------.--......-.--....-.`  ----------------..---..-......-.--....-.`  -------------------......-..------------`  ----------------------------------------`  -.--------------------------------------`  ----------------------------------------`  ----------------------------------------
400`  0100`  ...........--...........................`  .............-......-.-...........--...-`  ........................-...............`  ............................-------.....`  ........................................`  ........................................`  ........................................`  -.--..-.--------------------------------`  ....------------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  770A`  ........................................`  *.......................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  770B`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  770C`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  77CV`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  77V1`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  AX90`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  BB01`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  BB02`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  CH06`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  CH09`  ........................................`  *.......................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  CM02`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  CPD`  +-+.---------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  CPDL`  +-+.---------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
