MANDT [C(00006)]`SPRAS [C(00002)]`AFAPL [C(00008)]`METSTU [C(00006)]`STUTXT [C(00100)]
400`  E`  0JP`  222`  Straight-Line/Percent using Useful Life, 4,6000%
400`  E`  0JP`  223`  Straight-Line/Percent using Useful Life, 4,4000%
400`  E`  0JP`  224`  Straight-Line/Percent using Useful Life, 4,2000%
400`  E`  0JP`  225`  Straight-Line/Percent using Useful Life, 4,0000%
400`  E`  0JP`  226`  Straight-Line/Percent using Useful Life, 3,9000%
400`  E`  0JP`  227`  Straight-Line/Percent using Useful Life, 3,8000%
400`  E`  0JP`  228`  Straight-Line/Percent using Useful Life, 3,6000%
400`  E`  0JP`  229`  Straight-Line/Percent using Useful Life, 3,5000%
400`  E`  0JP`  230`  Straight-Line/Percent using Useful Life, 3,4000%
400`  E`  0JP`  231`  Straight-Line/Percent using Useful Life, 3,3000%
400`  E`  0JP`  232`  Straight-Line/Percent using Useful Life, 3,2000%
400`  E`  0JP`  233`  Straight-Line/Percent using Useful Life, 3,1000%
400`  E`  0JP`  234`  Straight-Line/Percent using Useful Life, 3,0000%
400`  E`  0JP`  235`  Straight-Line/Percent using Useful Life, 2,9000%
400`  E`  0JP`  236`  Straight-Line/Percent using Useful Life, 2,8000%
400`  E`  0JP`  237`  Straight-Line/Percent using Useful Life, 2,7000%
400`  E`  0JP`  238`  Straight-Line/Percent using Useful Life, 2,6000%
400`  E`  0JP`  239`  Straight-Line/Percent using Useful Life, 2,5000%
400`  E`  0JP`  242`  Straight-Line/Percent using Useful Life, 2,2000%
400`  E`  0JP`  243`  Straight-Line/Percent using Useful Life, 2,1000%
400`  E`  0JP`  244`  Straight-Line/Percent using Useful Life, 2,0000%
400`  E`  0JP`  245`  Straight-Line/Percent using Useful Life, 1,9000%
400`  E`  0JP`  246`  Straight-Line/Percent using Useful Life, 1,8000%
400`  E`  0JP`  247`  Straight-Line/Percent using Useful Life, 1,7000%
400`  E`  0JP`  248`  Straight-Line/Percent using Useful Life, 1,6000%
400`  E`  0JP`  249`  Straight-Line/Percent using Useful Life, 1,5000%
400`  E`  0JP`  250`  Straight-Line/Percent using Useful Life, 1,4000%
400`  E`  0JP`  251`  Straight-Line/Percent using Useful Life, 1,3000%
400`  E`  0JP`  252`  Straight-Line/Percent using Useful Life, 1,2000%
400`  E`  0JP`  253`  Straight-Line/Percent using Useful Life, 1,1000%
400`  E`  0JP`  254`  Straight-Line/Percent using Useful Life, 1,0000%
400`  E`  0JP`  302`  Declining Balance using Useful Life, 100,0000%
400`  E`  0JP`  303`  Declining Balance using Useful Life, 83,3000%
400`  E`  0JP`  304`  Declining Balance using Useful Life, 62,5000%
400`  E`  0JP`  305`  Declining Balance using Useful Life, 50,0000%
400`  E`  0JP`  306`  Declining Balance using Useful Life, 41,7000%
400`  E`  0JP`  307`  Declining Balance using Useful Life, 35,7000%
400`  E`  0JP`  308`  Declining Balance using Useful Life, 31,3000%
400`  E`  0JP`  309`  Declining Balance using Useful Life, 27,8000%
400`  E`  0JP`  310`  Declining Balance using Useful Life, 25,0000%
400`  E`  0JP`  311`  Declining Balance using Useful Life, 22,7000%
400`  E`  0JP`  312`  Declining Balance using Useful Life, 20,8000%
400`  E`  0JP`  313`  Declining Balance using Useful Life, 19,2000%
400`  E`  0JP`  314`  Declining Balance using Useful Life, 17,9000%
400`  E`  0JP`  315`  Declining Balance using Useful Life, 16,7000%
400`  E`  0JP`  316`  Declining Balance using Useful Life, 15,6000%
400`  E`  0JP`  317`  Declining Balance using Useful Life, 14,7000%
400`  E`  0JP`  318`  Declining Balance using Useful Life, 13,9000%
400`  E`  0JP`  319`  Declining Balance using Useful Life, 13,2000%
400`  E`  0JP`  320`  Declining Balance using Useful Life, 12,5000%
400`  E`  0JP`  321`  Declining Balance using Useful Life, 11,9000%
400`  E`  0JP`  322`  Declining Balance using Useful Life, 11,4000%
400`  E`  0JP`  323`  Declining Balance using Useful Life, 10,9000%
400`  E`  0JP`  324`  Declining Balance using Useful Life, 10,4000%
400`  E`  0JP`  325`  Declining Balance using Useful Life, 10,0000%
400`  E`  0JP`  326`  Declining Balance using Useful Life, 9,6000%
400`  E`  0JP`  327`  Declining Balance using Useful Life, 9,3000%
400`  E`  0JP`  328`  Declining Balance using Useful Life, 8,9000%
400`  E`  0JP`  329`  Declining Balance using Useful Life, 8,6000%
400`  E`  0JP`  330`  Declining Balance using Useful Life, 8,3000%
400`  E`  0JP`  331`  Declining Balance using Useful Life, 8,1000%
400`  E`  0JP`  332`  Declining Balance using Useful Life, 7,8000%
400`  E`  0JP`  333`  Declining Balance using Useful Life, 7,6000%
400`  E`  0JP`  334`  Declining Balance using Useful Life, 7,4000%
400`  E`  0JP`  335`  Declining Balance using Useful Life, 7,1000%
400`  E`  0JP`  336`  Declining Balance using Useful Life, 6,9000%
400`  E`  0JP`  337`  Declining Balance using Useful Life, 6,8000%
400`  E`  0JP`  338`  Declining Balance using Useful Life, 6,6000%
400`  E`  0JP`  339`  Declining Balance using Useful Life, 6,4000%
400`  E`  0JP`  340`  Declining Balance using Useful Life, 6,3000%
400`  E`  0JP`  001`   0.0000%,  net book value with remaining life
400`  E`  0JP`  005`  Decl-bal. over useful life 2 yrs  68.4000%
400`  E`  0JP`  006`  Decl-bal. over useful life 3 yrs  53.6000%
400`  E`  0JP`  007`  Decl-bal. over useful life 4 yrs  43.8000%
400`  E`  0JP`  008`  Decl-bal. over useful life 5 yrs  36.9000%
400`  E`  0JP`  009`  Decl-bal. over useful life 6 yrs  31.9000%
400`  E`  0JP`  010`  Decl-bal. over useful life 7 yrs  28.0000%
400`  E`  0JP`  011`  Decl-bal. over useful life 8 yrs  25.0000%
400`  E`  0JP`  012`  Decl-bal. over useful life 9 yrs  22.6000%
400`  E`  0JP`  013`  Decl-bal. over useful life 10 yrs  20.6000%
400`  E`  0JP`  014`  Decl-bal. over useful life 11 yrs 18.9000%
400`  E`  0JP`  015`  Decl-bal. over useful life 12 yrs 17.5000%
400`  E`  0JP`  016`  Decl-bal. over useful life 13 yrs  16.2000%
400`  E`  0JP`  017`  Decl-bal. over useful life 14 yrs  15.2000%
400`  E`  0JP`  018`  Decl-bal. over useful life 15 yrs  14.2000%
400`  E`  0JP`  019`  Decl-bal. over useful life 16 yrs  13.4000%
400`  E`  0JP`  020`  Decl-bal. over useful life 17 yrs  12.7000%
400`  E`  0JP`  021`  Decl-bal. over useful life 18 yrs  12.0000%
400`  E`  0JP`  022`  Decl-bal. over useful life 19 yrs  11.4000%
400`  E`  0JP`  023`  Decl-bal. over useful life 20 yrs  10.9000%
400`  E`  0JP`  024`  Decl-bal. over useful life 21 yrs 10.4000%
400`  E`  0JP`  025`  Decl-bal. over useful life 22 yrs   9.9000%
400`  E`  0JP`  026`  Decl-bal. over useful life 23 yrs   9.5000%
400`  E`  0JP`  027`  Decl-bal. over useful life 24 yrs   9.2000%
400`  E`  0JP`  028`  Decl-bal. over useful life 25 yrs   8.8000%
400`  E`  0JP`  029`  Decl-bal. over useful life 26 yrs   8.5000%
400`  E`  0JP`  030`  Decl-bal. over useful life 27 yrs   8.2000%
400`  E`  0JP`  031`  Decl-bal. over useful life 28 yrs   7.9000%
400`  E`  0JP`  032`  Decl-bal. over useful life 29 yrs   7.6000%
400`  E`  0JP`  033`  Decl-bal. over useful life 30 yrs   7.4000%
400`  E`  0JP`  034`  Decl-bal. over useful life 31 yrs   7.2000%
400`  E`  0JP`  035`  Decl-bal. over useful life 32 yrs   6.9000%
400`  E`  0JP`  036`  Decl-bal. over useful life 33 yrs   6.7000%
400`  E`  0JP`  037`  Decl-bal. over useful life 34 yrs   6.6000%
400`  E`  0JP`  038`  Decl-bal. over useful life 35 yrs   6.4000%
400`  E`  0JP`  039`  Decl-bal. over useful life 36 yrs   6.2000%
400`  E`  0JP`  040`  Decl-bal. over useful life 37 yrs   6.0000%
400`  E`  0JP`  041`  Decl-bal. over useful life 38 yrs   5.9000%
400`  E`  0JP`  042`  Decl-bal. over useful life 39 yrs   5.7000%
400`  E`  0JP`  043`  Decl-bal. over useful life 40 yrs   5.6000%
400`  E`  0JP`  044`  Decl-bal. over useful life 41 yrs   5.5000%
400`  E`  0JP`  045`  Decl-bal. over useful life 42 yrs   5.3000%
400`  E`  0JP`  046`  Decl-bal. over useful life 43 yrs   5.2000%
400`  E`  0JP`  047`  Decl-bal. over useful life 44 yrs   5.1000%
400`  E`  0JP`  048`  Decl-bal. over useful life 45 yrs   5.0000%
400`  E`  0JP`  049`  Decl-bal. over useful life 46 yrs   4.9000%
400`  E`  0JP`  050`  Decl-bal. over useful life 47 yrs   4.8000%
400`  E`  0JP`  051`  Decl-bal. over useful life 48 yrs   4.7000%
400`  E`  0JP`  052`  Decl-bal. over useful life 49 yrs   4.6000%
400`  E`  0JP`  053`  Decl-bal. over useful life 50 yrs   4.5000%
400`  E`  0JP`  054`  Decl-bal. over useful life 51 yrs   4.4000%
400`  E`  0JP`  055`  Decl-bal. over useful life 52-53 yrs  4.3000%
400`  E`  0JP`  056`  Decl-bal. over useful life 54 yrs   4.2000%
400`  E`  0JP`  057`  Decl-bal. over useful life 55 yrs   4.1000%
400`  E`  0JP`  058`  Decl-bal. over useful life 56-57 yrs   4.0000%
400`  E`  0JP`  059`  Decl-bal. over useful life 58 yrs   3.9000%
400`  E`  0JP`  060`  Decl-bal. over useful life 59-60 yrs   3.8000%
400`  E`  0JP`  061`  Decl-bal. over useful life 61 yrs   3.7000%
400`  E`  0JP`  062`  Decl-bal. over useful life 62-63 yrs   3.6000%
400`  E`  0JP`  063`  Decl-bal. over useful life 64-65 yrs   3.5000%
400`  E`  0JP`  064`  Decl-bal. over useful life 66-67 yrs   3.4000%
400`  E`  0JP`  065`  Decl-bal. over useful life 68-69 yrs   3.3000%
400`  E`  0JP`  066`  Decl-bal. over useful life 70-72 yrs   3.2000%
400`  E`  0JP`  067`  Decl-bal. over useful life 73-74 yrs   3.1000%
400`  E`  0JP`  068`  Decl-bal. over useful life 75-77 yrs   3.0000%
400`  E`  0JP`  069`  Decl-bal. over useful life 78 yrs   2.9000%
400`  E`  0JP`  070`  Decl-bal. over useful life 79 yrs   2.8000%
