MANDT [C(00006)]`KTOPL [C(00008)]`KTOGR [C(00016)]`AFABE [C(00004)]`KTSZUS [C(00020)]`KTSAFU [C(00020)]`KTNAFB [C(00020)]`KTNAFG [C(00020)]`KTNZUS [C(00020)]`KTNAFU [C(00020)]`KTSAFB [C(00020)]`KTSAFG [C(00020)]
400`  `  00010000`  01`  `  `  0000191900`  0000792100`  `  0000792100`  `
400`  0077`  0077D`  01`  `  `  0016020201`  0066020301`  `  `  `
400`  0077`  0077F`  01`  `  `  0016020101`  0066020301`  `  `  `
400`  2018`  00160010`  01`  `  `  0016010100`  0066012001`  `  `  0016010100`  0066012001
400`  2018`  00160020`  01`  `  `  0016020200`  0066012001`  `  `  0016020200`  0066012001
400`  2018`  00160020`  20`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160020`  30`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160040`  01`  `  `  0016020300`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160040`  20`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160040`  30`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160050`  01`  `  `  0016020500`  0066012001`  `  `  0016020500`  0066012001
400`  2018`  00160070`  01`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160070`  20`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160070`  30`  `  `  0016020400`  0066012001`  `  `  0016020400`  0066012001
400`  2018`  00160090`  01`  `  `  0016040100`  0066012001`  `  `  0016040100`  0066012001
400`  ALKH`  Z101`  01`  `  `  1602000001`  6601010029`  `  `  1602000001`  6601010029
400`  ALKH`  Z102`  01`  `  `  1602000001`  6601010029`  `  `  1602000001`  6601010029
400`  ALKH`  Z201`  01`  `  `  1702000001`  6601010021`  `  `  1702000001`  6601010021
400`  ALKH`  Z301`  01`  `  `  1602000001`  6601010029`  `  `  1602000001`  6601010029
400`  AR88`  ARZ200`  01`  `  `  1602020102`  6602100201`  `  `  1602020102`  6602100201
400`  BJDM`  BJDM01`  01`  `  `  1602010000`  6600010000`  `  `  `
400`  BJDM`  BJDM02`  01`  `  `  1602030000`  6600010000`  `  `  `
400`  CABE`  00010000`  01`  `  `  0000220090`  0000663000`  0000760000`  0000663000`  `
400`  CABE`  00011000`  01`  `  `  0000221090`  0000663000`  0000760000`  `  `
400`  CABE`  00020000`  01`  `  `  0000230090`  0000663000`  0000760000`  0000663000`  `
400`  CABE`  00030000`  01`  `  `  0000240090`  0000630000`  0000760000`  0000663000`  `
400`  CABE`  00032000`  01`  `  `  0000240190`  0000663000`  0000760000`  `  `
400`  CABE`  00040000`  01`  `  `  0000270090`  0000663000`  0000760000`  0000663000`  `
400`  CACH`  00010000`  01`  `  `  0000015790`  0000069300`  `  0000069300`  `
400`  CACH`  00020000`  01`  `  `  0000015090`  0000069200`  `  0000069200`  `
400`  CACH`  00030000`  01`  `  `  0000015290`  0000069400`  `  0000069400`  `
400`  CACH`  00031000`  01`  `  `  0000015290`  0000069400`  `  `  `
400`  CACH`  00040000`  01`  `  `  `  `  `  `  `
400`  CACH`  00050000`  01`  `  `  `  `  `  `  `
400`  CACN`  00010000`  01`  `  `  0016110101`  `  `  `  `
400`  CACN`  00020000`  01`  `  `  0016110201`  0051411000`  `  0051411000`  `
400`  CACN`  00030000`  01`  `  `  0016110401`  0051411100`  `  0051411100`  `
400`  CACN`  00040000`  01`  `  `  `  0051411000`  `  0051411000`  `
400`  CACO`  CO150400`  01`  `  `  `  `  `  `  `
400`  CACO`  CO150800`  01`  `  `  0015920500`  0051600500`  `  `  `
400`  CACO`  CO150800`  10`  `  `  `  `  `  `  `
400`  CACO`  CO151200`  01`  `  `  0015921000`  0051601000`  `  `  `
400`  CACO`  CO151200`  10`  `  `  `  `  `  `  `
400`  CACO`  CO151600`  01`  `  `  0015920500`  0051600500`  `  `  `
400`  CACO`  CO151600`  10`  `  `  `  `  `  `  `
400`  CACO`  CO152000`  01`  `  `  0015921000`  0051601000`  `  `  `
400`  CACO`  CO152000`  10`  `  `  `  `  `  `  `
400`  CACO`  CO152400`  01`  `  `  0015921500`  0051601500`  `  `  `
400`  CACO`  CO152400`  10`  `  `  `  `  `  `  `
400`  CACO`  CO152800`  01`  `  `  0015922000`  0051602000`  `  `  `
400`  CACO`  CO153200`  01`  `  `  0015922500`  0051602500`  `  `  `
400`  CACO`  CO153200`  10`  `  `  `  `  `  `  `
400`  CACO`  CO153600`  01`  `  `  0015923000`  0051603000`  `  `  `
400`  CACO`  CO153600`  10`  `  `  `  `  `  `  `
400`  CACO`  CO154000`  01`  `  `  0015923500`  0051603500`  `  `  `
