MANDT [C(00006)]`FLREF [C(00040)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]`FAUS3 [C(00140)]`BSTYP [C(00002)]
400`  $$$$`  ............................................................-.........`  .....................................................................`  ........-----------------------------------...........................`
400`  $DE1`  ........******..............................................*..*..**..`  ........*.*............*.**.*..........*.............................F`  ......................................................................`  F
400`  $DE2`  ........------..............................................-..-..--..`  ........-.-............-.--.-..........-.............................F`  ......................................................................`  F
400`  AKTA`  *******.****************.*********************************************`  *********************************************************************`  **********************************************************************`
400`  AKTE`  ************************.*********************************************`  *********************************************************************`  **********************************************************************`
400`  AKTH`  ......................................................................`  .....................................................................`  ........+..+.....++------------+..-.-.+-----..........................`
400`  AKTV`  ..............................*.*.....................................`  ......*..............................................................`  .........................------+..-.-.+-----**........................`
400`  ANA`  ..............................+++.+...............++..................`  .....................................................................A`  ......................................................................`  A
400`  ANAR`  ..**.*.*......................+++.+.....................**...**....*..`  .****...**..*..*.*..***........*...........*......*........*.*****...A`  ......................................................................`  A
400`  ANZE`  *******.****************.*********************************************`  *****.***************************************************************I`  **********************************************************************`  I
400`  CMKK`  .......-.-..+.......---.-...-.+++...++............++-.-.-...+---.+-...`  ..--...--.-.-..-.-..+--....-.-.............-----.--.---..-.--....-..-K`  .....-......................................*--...........-...........`  K
400`  CWKK`  .......-.-..+.+.....---.-...-.+++...++.............+-.-.-...+---.+-.+.`  ..--...--.-.-..-.-..+--....-.-.............-----.--.---..-.--....-..-K`  .....-...................------+..-.-.+-----*--...........-...........`  K
400`  ESTD`  *..*.**..............**................*.*.*.....*.*.*......*.......**`  *...................*..............................*.........*.***...B`  ......................................................................`  B
400`  ESTF`  *..*.**..............**................*.*.*.....*.*.*......*.......**`  *...................*..............................*.........*.***.*.B`  ......................................................................`  B
400`  ESTV`  ......*..........................................*.*.*...............*`  *............................................................*.***.*.B`  ......................................................................`  B
400`  FOB`  +...............................+..........+.....+.+.+....+...........`  .....................................................................B`  ......................................................................`  B
400`  FOF`  ............+.......................+.................................`  ..................................................................-..F`  ......................................................................`  F
400`  FZ01`  .................................................*.*........*.........`  .....................................................................B`  ......................................................................`  B
400`  FZ02`  .................................................*.*.*......*.........`  .....................................................................B`  ......................................................................`  B
400`  FZ03`  ************************.*********************************************`  *********************************************************************B`  **********************************************************************`  B
400`  LPL`  ............+.................+++...++............++........+...--....`  ....................+..................................-.............L`  ......................................................................`  L
400`  LTL`  ............+.................+++...++............++........-..-----+.`  ........-...........+..................................-.............L`  ............................................-.........................`  L
