MANDT [C(00006)]`KNTTP [C(00002)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]
400`  A`  ----------*------------+-----------------.--------*.---......-........`  -                       -    -    .
400`  B`  `
400`  C`  ------------+-------------------------------------+-.........-........`  -
400`  D`  -----------.+-------------------------------------+-..-......-........`  -
400`  E`  ------------.-------------------------------------+-..-......-........`  -
400`  F`  ---------..------------------------------.--------+----.--...-........`  ....................--------------------------------------------------
400`  G`  `
400`  H`  ------------+-------------------------------------+-..-......-........`  -
400`  K`  ---------.----------------------------------------+-..-......-........`  -                       -    -    .
400`  M`  ------------+-------------------------------------+-..-......-........`  -
400`  N`  ---------*--------.-------------------------------+-..-......-........`  ....................--------------------------------------------------
400`  P`  ----------..------.-----------------------------.-+-..-......-........`  -                       .    .    .
400`  Q`  -----------+*-------------------------------------+-..-......-........`  -
400`  S`  -----------.------.-------------------------------+-..-......-........`  -
400`  T`  ---------....-----..---------------------...-..---+-..-......-........`  -
400`  W`  ---------..-.-------------------------------------+..........-........`  -
400`  X`  ---------....-------------------------------------+..........-........`  -
400`  Y`  ---------....-------------------------------------+..........-........`  -
400`  Z`  ---------*---------------------------------*---*--*--*----............`                          -
