MANDT [C(00006)]`SPRAS [C(00002)]`FAUTB [C(00002)]`FAUNR [C(00006)]`FAUTX [C(00060)]`FAUGR [C(00004)]`FAUBS [C(00002)]`FAUAN [C(00002)]`FAUKT [C(00002)]`FAULP [C(00002)]`FAUBA [C(00002)]
400`  E`  `  000`  `  `  `  `  `  `
400`  E`  1`  001`  Plant`  01`  X`  X`  X`  X`  X
400`  E`  1`  002`  Item category`  01`  X`  `  X`  X`  X
400`  E`  1`  003`  Purchase requisition`  14`  X`  X`  X`  X`  X
400`  E`  1`  004`  Info record`  14`  X`  X`  X`  X`  X
400`  E`  1`  005`  Request for quotation`  14`  X`  `  X`  X`
400`  E`  1`  006`  Storage location`  01`  X`  X`  X`  X`  X
400`  E`  1`  007`  Account assignment category`  01`  X`  `  X`  X`  X
400`  E`  1`  008`  Material data (Brazil)`  22`  X`  X`  X`  X`  X
400`  E`  1`  009`  Terms of payt. (days, percent)`  02`  X`  X`  X`  X`
400`  E`  1`  010`  NBM code`  22`  X`  X`  X`  X`  X
400`  E`  1`  011`  Terms of payment`  02`  X`  X`  X`  X`
400`  E`  1`  012`  Incoterms part 1`  02`  X`  X`  X`  X`
400`  E`  1`  013`  Currency`  02`  X`  X`  X`  X`
400`  E`  1`  014`  Exchange rate`  02`  X`  X`  X`  X`
400`  E`  1`  015`  Target Value`  04`  `  X`  X`  X`
400`  E`  1`  016`  Collective RFQ`  03`  X`  X`  `  `
400`  E`  1`  017`  Requisitioner`  14`  X`  `  `  `  X
400`  E`  1`  018`  Reference, salesperson etc.`  03`  X`  X`  X`  X`
400`  E`  1`  019`  Quotation no., date`  03`  X`  X`  X`  X`
400`  E`  1`  020`  Purchasing group`  04`  X`  X`  X`  X`
400`  E`  1`  021`  Supplying vendor`  03`  X`  X`  X`  X`
400`  E`  1`  022`  Outline agreement`  14`  X`  `  `  `  X
400`  E`  1`  023`  Supplying plant`  05`  X`  `  `  `  X
400`  E`  1`  024`  Vendor`  03`  `  X`  `  `
400`  E`  1`  025`  Indicator: "Texts exist"`  01`  X`  X`  X`  X`  X
400`  E`  1`  026`  Purchasing organization`  14`  `  `  `  `  X
400`  E`  1`  027`  Incoterms part 2`  02`  X`  X`  X`  X`
400`  E`  1`  029`  GR message`  04`  X`  `  X`  X`
400`  E`  1`  030`  EAN/UPC`  14`  X`  `  `  `
400`  E`  1`  031`  Language`  04`  X`  X`  X`  X`
400`  E`  1`  032`  Item number interval`  04`  X`  X`  X`  X`
400`  E`  1`  033`  Requisition (request) date`  11`  `  `  `  `  X
400`  E`  1`  034`  Binding period for quotations`  04`  `  X`  `  `
400`  E`  1`  035`  Deadline subm. of quotations`  04`  `  X`  `  `
400`  E`  1`  036`  Closing date for applications`  04`  `  X`  `  `
400`  E`  1`  037`  Start of validity period`  04`  X`  X`  X`  X`
400`  E`  1`  038`  Validity period end`  04`  X`  X`  X`  X`
400`  E`  1`  039`  Vendor address`  03`  X`  X`  X`  X`
400`  E`  1`  040`  Desired vendor`  14`  `  `  `  `  X
400`  E`  1`  041`  Fixed vendor`  14`  `  `  `  `  X
400`  E`  1`  042`  Materials planner`  14`  `  `  `  `  X
400`  E`  1`  043`  Release fields`  15`  `  `  `  `  X
400`  E`  1`  044`  Purchasing group`  01`  `  `  `  `  X
400`  E`  1`  045`  Complete delivery`  04`  X`  `  `  `
400`  E`  1`  046`  Order statistics`  14`  `  `  `  `  X
400`  E`  1`  047`  Qualification for discount`  10`  X`  X`  X`  X`
400`  E`  1`  048`  Planned delivery time`  25`  `  `  X`  X`
400`  E`  1`  049`  Order unit (Purchasing)`  10`  `  `  `  `  X
400`  E`  1`  050`  Quantity`  10`  X`  X`  X`  X`  X
400`  E`  1`  051`  Target quantity`  10`  `  X`  X`  X`
400`  E`  1`  052`  Unit of measure`  10`  X`  X`  X`  X`  X
400`  E`  1`  053`  Reconciliation date, cum. qty.`  16`  `  `  `  X`
400`  E`  1`  054`  Delivery date`  11`  X`  X`  `  X`  X
400`  E`  1`  055`  Settlement group`  10`  X`  X`  X`  X`
400`  E`  1`  056`  Statistics-relev. deliv. date`  11`  X`  X`  `  X`
400`  E`  1`  057`  Order acknowledgment reqt.`  11`  X`  X`  X`  X`
400`  E`  1`  058`  Schedule line time spot`  11`  X`  X`  `  X`
400`  E`  1`  059`  Release date`  11`  `  `  `  `  X
400`  E`  1`  060`  Quotation date, item`  15`  `  X`  `  `
400`  E`  1`  061`  Price and price unit`  10`  X`  X`  X`  X`  X
400`  E`  1`  062`  Points`  15`  X`  X`  X`  X`
400`  E`  1`  063`  Promotion`  15`  X`  X`  X`  X`  X
400`  E`  1`  064`  Price printout indicator`  10`  X`  `  X`  X`
400`  E`  1`  065`  Price date`  10`  `  `  X`  `
400`  E`  1`  066`  Standard release order qty.`  10`  `  `  X`  `
400`  E`  1`  067`  Valuation type`  13`  X`  `  X`  X`  X
400`  E`  1`  068`  Tax code`  13`  X`  X`  X`  X`
400`  E`  1`  069`  Short text`  01`  X`  X`  X`  X`  X
400`  E`  1`  070`  Delivery address`  14`  X`  `  `  `
400`  E`  1`  071`  Customer number`  14`  X`  `  `  `
400`  E`  1`  072`  Requirement tracking number`  14`  X`  X`  X`  X`  X
400`  E`  1`  073`  Vendor material`  14`  X`  X`  X`  X`  X
400`  E`  1`  074`  Order acknowledgment`  11`  X`  X`  X`  X`
400`  E`  1`  075`  Deletion indicator`  15`  X`  X`  X`  X`  X
400`  E`  1`  076`  "Delivery completed" indicator`  13`  X`  `  `  X`
400`  E`  1`  077`  Rounding profile`  15`  X`  `  `  X`
400`  E`  1`  078`  Quality inspection`  13`  X`  `  X`  X`
400`  E`  1`  079`  Info update`  15`  X`  X`  X`  X`
400`  E`  1`  080`  Rejection, internal comment`  15`  `  X`  `  `
400`  E`  1`  081`  Indicator: estimated price`  15`  X`  `  X`  X`
400`  E`  1`  082`  Latest GR date`  25`  X`  `  `  `
400`  E`  1`  083`  Reminder control`  11`  X`  X`  X`  X`  X
400`  E`  1`  084`  Underdelivery tolerance`  13`  X`  `  X`  X`
400`  E`  1`  085`  Incoterms, item`  02`  X`  X`  X`  X`
400`  E`  1`  086`  Prior vendor`  15`  X`  X`  X`  X`
400`  E`  1`  087`  Kanban indicator`  15`  `  `  `  X`
400`  E`  1`  088`  Remaining shelf life`  25`  X`  X`  X`  X`
400`  E`  1`  089`  Overdelivery tolerance`  13`  X`  `  X`  X`
400`  E`  1`  090`  Unlimited overdelivery`  13`  X`  `  X`  X`
400`  E`  1`  091`  Material group`  01`  X`  X`  X`  X`  X
400`  E`  1`  092`  Season`  15`  X`  X`  X`  X`
400`  E`  1`  093`  Control key QM`  15`  X`  X`  X`  X`
400`  E`  1`  094`  Final invoice indicator`  13`  X`  `  `  X`
400`  E`  1`  095`  Incoterms part 2 item`  02`  X`  X`  X`  X`
400`  E`  1`  096`  Order price unit (purchasing)`  10`  X`  X`  X`  X`
400`  E`  1`  097`  GR-based invoice verification`  13`  X`  `  X`  X`
400`  E`  1`  098`  GR-based settlement`  13`  X`  `  X`  X`
400`  E`  1`  099`  GR/IR control`  13`  X`  `  X`  X`
400`  E`  1`  100`  "Delivery completed" indicator`  13`  X`  `  `  X`
400`  E`  1`  101`  Reason for ordering`  15`  X`  `  `  `
400`  E`  1`  102`  Material description`  01`  X`  X`  X`  X`  X
400`  E`  1`  103`  External service fields`  01`  X`  `  `  `  X
400`  E`  1`  104`  Value limit fields`  01`  X`  `  `  `  X
400`  E`  1`  105`  Ind.: partial deliv. (st. tfr)`  13`  X`  `  `  `
400`  E`  1`  106`  Returns indicator`  13`  X`  `  `  `
400`  E`  1`  107`  Country for VAT reg. number`  04`  X`  `  X`  X`
400`  E`  1`  108`  JIT indicator`  16`  `  `  `  X`
400`  E`  1`  109`  "Fixed" indicator`  14`  `  `  `  X`  X
400`  E`  1`  110`  GR/IR indicator`  13`  X`  `  X`  X`  X
