MANDT [C(00006)]`SPRAS [C(00002)]`KVEWE [C(00002)]`KAPPL [C(00004)]`KALSM [C(00012)]`STUNR [C(00006)]`ZAEHK [C(00006)]`VTEXT [C(00060)]
400`  E`  A`  `  A61007`  200`  000`
400`  E`  A`  CR`  CRP001`  010`  000`  Basic price
400`  E`  A`  CR`  CRP001`  020`  000`  Price multiplier
400`  E`  A`  CR`  CRP001`  110`  000`
400`  E`  A`  CR`  CRP001`  200`  000`  Adjusted price
400`  E`  A`  CR`  CRP001`  210`  000`  Non-deductible tax
400`  E`  A`  CR`  CRP001`  300`  000`  Price including tax
400`  E`  A`  CR`  CRP001`  310`  000`  Transportation costs
400`  E`  A`  CR`  CRP001`  315`  000`  Price incl freight & transport
400`  E`  A`  CR`  CRP001`  320`  000`  Condition Code Adj
400`  E`  A`  CR`  CRP001`  325`  000`
400`  E`  A`  CR`  CRP001`  330`  000`  Tangible Costs
400`  E`  A`  CR`  CRP001`  335`  000`
400`  E`  A`  CR`  CRP001`  999`  000`  Replacement Price JV SCHEMA
400`  E`  A`  CR`  CRP002`  010`  000`  CRP Base Price
400`  E`  A`  CR`  CRP002`  020`  000`
400`  E`  A`  CR`  CRP002`  030`  000`  Tangible Costs
400`  E`  A`  CR`  CRP002`  035`  000`
400`  E`  A`  CR`  CRP002`  040`  000`
400`  E`  A`  CR`  CRP002`  999`  000`  Wholly Owned Replacement Price
400`  E`  A`  CR`  CRP003`  010`  000`
400`  E`  A`  CR`  CRP003`  020`  000`  HPM COPAS #23
400`  E`  A`  CR`  CRP003`  110`  000`
400`  E`  A`  CR`  CRP003`  310`  000`
400`  E`  A`  CR`  CRP003`  325`  000`
400`  E`  A`  CR`  CRP003`  335`  000`
400`  E`  A`  CR`  CRP003`  999`  000`  Current New Price for EBC
400`  E`  A`  CS`  SAP000`  190`  000`  Computation base
400`  E`  A`  CS`  SAP000`  390`  000`  Surcharges
400`  E`  A`  CS`  SAP000`  400`  000`  Total personnel costs
400`  E`  A`  F`  SDFC00`  300`  000`  Gross freight
400`  E`  A`  F`  SDFC00`  500`  000`  Net freight
400`  E`  A`  F`  SDFC00`  950`  000`  Total amount
400`  E`  A`  F`  SDFC01`  300`  000`  Gross freight
400`  E`  A`  F`  SDFC01`  500`  000`  Net freight
400`  E`  A`  F`  SDFC01`  950`  000`  Total amount
400`  E`  A`  KA`  1010PC`  100`  000`  Material
400`  E`  A`  KA`  1010PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1010PC`  200`  000`  Production
400`  E`  A`  KA`  1010PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1010PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1010PP`  100`  000`  Material
400`  E`  A`  KA`  1010PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1010PP`  200`  000`  Production
400`  E`  A`  KA`  1010PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1010PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1010PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1010PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1110PC`  100`  000`  Material
400`  E`  A`  KA`  1110PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1110PC`  200`  000`  Production
400`  E`  A`  KA`  1110PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1110PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1110PP`  100`  000`  Material
400`  E`  A`  KA`  1110PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1110PP`  200`  000`  Production
400`  E`  A`  KA`  1110PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1110PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1110PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1110PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1210PC`  100`  000`  Material
400`  E`  A`  KA`  1210PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1210PC`  200`  000`  Production
400`  E`  A`  KA`  1210PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1210PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1210PP`  100`  000`  Material
400`  E`  A`  KA`  1210PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1210PP`  200`  000`  Production
400`  E`  A`  KA`  1210PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1210PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1210PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1210PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1310PC`  100`  000`  Material
400`  E`  A`  KA`  1310PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1310PC`  200`  000`  Production
400`  E`  A`  KA`  1310PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1310PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1310PP`  100`  000`  Material
400`  E`  A`  KA`  1310PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1310PP`  200`  000`  Production
