MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  0001`  01`  01`  2`  1`  18CBCL`  `  `
400`  0001`  01`  01`  5`  1`  J3GINT`  `  `
400`  0001`  01`  01`  6`  1`  J3GEXT`  `  `
400`  0001`  01`  01`  7`  1`  J3GMA1`  `  `
400`  0001`  01`  01`  7`  2`  J3GMA1`  `  `
400`  0001`  01`  01`  8`  `  PLPVIS`  `  `
400`  0001`  01`  01`  8`  1`  PLPVIS`  `  `
400`  0001`  01`  01`  8`  2`  PLPVIS`  `  `
400`  0001`  01`  01`  A`  1`  ZS01`  PR00`  NA0001`
400`  0001`  01`  01`  A`  2`  RVAB01`  PR01`  NA0001`
400`  0001`  01`  01`  A`  3`  CHBACK`  `  `
400`  0001`  01`  01`  A`  5`  GTS001`  `  `
400`  0001`  01`  01`  A`  6`  GTLITE`  PB00`  `
400`  0001`  01`  01`  A`  M`  NFMA03`  NFMP`  `
400`  0001`  01`  01`  A`  N`  NFMA01`  PR00`  `
400`  0001`  01`  01`  A`  R`  JDRM01`  `  `
400`  0001`  01`  01`  A`  W`  ADAA01`  PR00`  `
400`  0001`  01`  01`  B`  1`  RVWIA1`  `  `
400`  0001`  01`  01`  C`  1`  RVCA01`  `  NA0001`
400`  0001`  01`  01`  C`  2`  RVCA02`  `  NA0001`
400`  0001`  01`  01`  C`  G`  RVCA02`  `  `
400`  0001`  01`  01`  D`  1`  RVSB01`  PR00`  `
400`  0001`  01`  01`  F`  `  RVAA03`  `  `
400`  0001`  01`  01`  F`  1`  RVAA03`  `  `
400`  0001`  01`  01`  F`  2`  RVAA03`  `  `
400`  0001`  01`  01`  G`  1`  GVC001`  GVCP`  `
400`  0001`  01`  01`  G`  2`  GVC001`  GVCP`  `
400`  0001`  01`  01`  G`  5`  GTE002`  `  `
400`  0001`  01`  01`  G`  G`  GVC001`  GVCP`  `
400`  0001`  01`  01`  H`  `  CHCIXD`  `  `
400`  0001`  01`  01`  H`  1`  CHCIXD`  `  `
400`  0001`  01`  01`  H`  2`  CHCIXD`  `  `
400`  0001`  01`  01`  I`  1`  ICAA01`  `  `
400`  0001`  01`  01`  J`  R`  JDRMCM`  `  `
400`  0001`  01`  01`  K`  `  CHCIXK`  `  `
400`  0001`  01`  01`  K`  1`  CHCIXK`  `  `
400`  0001`  01`  01`  K`  2`  CHCIXK`  `  `
400`  0001`  01`  01`  L`  1`  RVLB00`  VPRS`  `
400`  0001`  01`  01`  O`  1`  GRVAA1`  PR00`  `
400`  0001`  01`  01`  O`  2`  GRVAA1`  PR00`  `
400`  0001`  01`  01`  O`  G`  GRVAA1`  PR00`  `
400`  0001`  01`  01`  P`  1`  VPKPS1`  PR00`  `
400`  0001`  01`  01`  P`  2`  VPKPS1`  PR00`  `
400`  0001`  01`  01`  R`  1`  PREP01`  PRRP`  `
400`  0001`  01`  01`  S`  1`  ADBOS1`  `  `
400`  0001`  01`  01`  T`  1`  J1NA01`  PR00`  `
400`  0001`  01`  01`  V`  1`  PSER01`  PPSV`  `
400`  0001`  01`  01`  V`  2`  PSER01`  PPSV`  `
400`  0001`  01`  01`  V`  G`  PSER01`  PPSV`  `
400`  0001`  01`  01`  W`  1`  PSER02`  `  `
400`  0001`  01`  01`  W`  2`  PSER02`  `  `
400`  0001`  01`  01`  X`  1`  WMP001`  `  `
