XZAHL [C(00002)]`XUMSW [C(00002)]`XSONU [C(00002)]`STBSL [C(00004)]`SHKZG [C(00002)]`MANDT [C(00006)]`KOART [C(00002)]`BSCHL [C(00004)]
`  `  `  `  `  400`  `  00
`  X`  `  12`  S`  400`  D`  01
`  X`  `  11`  S`  400`  D`  02
`  `  `  13`  S`  400`  D`  03
`  `  `  14`  S`  400`  D`  04
X`  `  `  15`  S`  400`  D`  05
X`  `  `  16`  S`  400`  D`  06
`  `  `  17`  S`  400`  D`  07
X`  `  `  18`  S`  400`  D`  08
`  `  X`  19`  S`  400`  D`  09
`  `  `  1A`  S`  400`  D`  0A
`  `  `  1B`  S`  400`  D`  0B
`  `  `  `  S`  400`  D`  0C
`  `  `  1X`  S`  400`  D`  0X
`  `  `  1Y`  S`  400`  D`  0Y
`  `  `  1Z`  S`  400`  D`  0Z
`  X`  `  02`  H`  400`  D`  11
`  X`  `  01`  H`  400`  D`  12
`  `  `  03`  H`  400`  D`  13
`  `  `  04`  H`  400`  D`  14
X`  `  `  05`  H`  400`  D`  15
X`  `  `  06`  H`  400`  D`  16
`  `  `  07`  H`  400`  D`  17
X`  `  `  08`  H`  400`  D`  18
`  `  X`  09`  H`  400`  D`  19
`  `  `  0A`  H`  400`  D`  1A
`  `  `  0B`  H`  400`  D`  1B
`  `  `  0C`  H`  400`  D`  1C
`  `  `  0X`  H`  400`  D`  1X
`  `  `  0Y`  H`  400`  D`  1Y
`  `  `  0Z`  H`  400`  D`  1Z
`  X`  `  32`  S`  400`  K`  21
`  X`  `  31`  S`  400`  K`  22
`  `  `  34`  S`  400`  K`  24
X`  `  `  35`  S`  400`  K`  25
X`  `  `  36`  S`  400`  K`  26
`  `  `  37`  S`  400`  K`  27
X`  `  `  38`  S`  400`  K`  28
`  `  X`  39`  S`  400`  K`  29
`  X`  `  22`  H`  400`  K`  31
`  X`  `  21`  H`  400`  K`  32
`  `  `  24`  H`  400`  K`  34
X`  `  `  25`  H`  400`  K`  35
X`  `  `  26`  H`  400`  K`  36
`  `  `  27`  H`  400`  K`  37
X`  `  `  28`  H`  400`  K`  38
`  `  X`  29`  H`  400`  K`  39
`  `  `  50`  S`  400`  S`  40
`  `  `  40`  H`  400`  S`  50
`  `  `  75`  S`  400`  A`  70
`  `  `  70`  H`  400`  A`  75
`  `  `  `  S`  400`  S`  80
`  `  `  91`  S`  400`  S`  81
`  `  `  93`  S`  400`  S`  83
`  `  `  `  S`  400`  S`  84
`  `  `  `  S`  400`  S`  85
`  `  `  `  S`  400`  S`  86
`  `  `  99`  S`  400`  M`  89
`  `  `  `  H`  400`  S`  90
`  `  `  81`  H`  400`  S`  91
`  `  `  83`  H`  400`  S`  93
`  `  `  `  H`  400`  S`  94
`  `  `  `  H`  400`  S`  95
`  `  `  `  H`  400`  S`  96
`  `  `  89`  H`  400`  M`  99
