KTOPL [C(00008)]`BEZEI [C(00050)]`KOKRS [C(00008)]`LMONA [C(00004)]`MANDT [C(00006)]`WAERS [C(00010)]
INT`  Kostenrechnungskreis 0001`  0001`  K4`  400`  EUR
INT`  SAP US (is-ht-sw)`  0003`  K4`  400`  USD
0077`  0077成本控制范围`  0077`  K4`  400`  CNY
0797`  浙江测试有限公司`  0797`  K4`  400`  CNY
0AES`  红酥手 世情薄`  0AEF`  K4`  400`  CNY
0MB1`  IS-B Musterbank Deutschl.`  0MB1`  K4`  400`  EUR
CACN`  not used area`  1000`  K2`  400`  USD
1006`  SAP养家的控制范围`  1006`  K4`  400`  USD
HDCN`  海底捞集团控制范围`  1009`  K4`  400`  CNY
1209`  1209管理領域`  1209`  K4`  400`  JPY
1300`  徐汇集团控制范围`  1300`  K4`  400`  USD
YCOA`  1310公司成本的控制范围`  1310`  K4`  400`  CNY
CACN`  七杯茶销售公司控制范围`  2000`  K4`  400`  CNY
CACN`  七杯茶直营管理公司控制范围`  2001`  K4`  400`  CNY
2007`  chris公司成本控制范围`  2009`  CH`  400`  RMB
2018`  宏宇集团控制范围`  2018`  K4`  400`  RMB
CACN`  sap 成都 测试公司1`  2020`  K4`  400`  CNY
YCOA`  sap 成都 测试公司2030`  2030`  K4`  400`  USD
CACN`  哈尔滨制氧机有限责任公司`  2301`  K4`  400`  CNY
MQCC`  深圳MQ有限公司`  3000`  K4`  400`  CNY
3006`  3006控制范围`  3006`  K4`  400`  USD
1000`  费米子有限公司`  3444`  K4`  400`  CNY
1000`  dddd司`  3988`  K3`  400`  CNY
4000`  XYZ有限公司4000`  4000`  K4`  400`  CNY
4010`  XYZ有限公司4010`  4010`  K4`  400`  CNY
4020`  XYZ有限公司4000`  4020`  K4`  400`  USD
4030`  XYZ有限公司4000`  4030`  K4`  400`  USD
CNCN`  沃尔德集团公司`  6001`  K4`  400`  CNY
CNCN`  沃尔德北京公司`  6002`  K4`  400`  CNY
CNCN`  沃尔德嘉兴公司`  6003`  K4`  400`  CNY
CE0T`  许继集团有限公司`  6950`  K4`  400`  CNY
6968`  マルエツ`  6968`  K4`  400`  JPY
ALKH`  LKH成本控制范围`  7000`  K4`  400`  CNY
8570`  Controlling Area-SCG 8570`  8570`  ZA`  400`  USD
CAJP`  NHSコンピュータ`  9000`  V3`  400`  JPY
YCOA`  9399公司的成本控制范围`  9300`  K4`  400`  CNY
93A9`  Controlling Area 93A9`  93A9`  K4`  400`  CNY
9700`  KOEPFER`  9700`  K4`  400`  CNY
YCOA`  Controlling Area A000`  A000`  K4`  400`  USD
AAAA`  Charmis Cost Control Area`  A100`  K4`  400`  CNY
YCOA`  A101控制范围`  A101`  K4`  400`  CNY
A198`  A198学习SAP`  A198`  K4`  400`  CNY
AA01`  大浪淘沙成本控制范围`  AA01`  K4`  400`  CNY
AAA2`  十一啊的控制范围`  AAA2`  K4`  400`  CNY
INT`  Country Template UAE`  AE01`  K4`  400`  AED
AR88`  Aria集团成本该控制范围`  AR88`  K4`  400`  CNY
CABE`  Kostenrechnungskreis BE01`  BE01`  K4`  400`  EUR
BJDM`  北京大麦有限责任公司`  BJDM`  K4`  400`  CNY
BL01`  北凉控制范围`  BL01`  K4`  400`  USD
G001`  c100控制范围`  C100`  K4`  400`  CNY
CANA`  Kostenrechnungskreis CA01`  CA01`  K4`  400`  EUR
CACH`  Kostenrechnungskreis CH01`  CH01`  K4`  400`  EUR
CM02`  公司代码CN02的成本控制范围`  CM02`  Y1`  400`  CNY
CACN`  Kostenrechnungskreis CN01`  CN01`  K4`  400`  USD
CN02`  Kostenrechnungskreis CN02`  CN02`  K4`  400`  CNY
CACO`  Kostenrechnungskreis CO01`  CO01`  K4`  400`  COP
CON8`  Kostenrechnungskreis CONS`  CONS`  K4`  400`  CNY
INT`  Test`  COPY`  K4`  400`  EUR
CPCN`  天津黑豆公司控制范围`  CPCN`  K4`  400`  CNY
CACZ`  Kostenrechnungskreis CZ01`  CZ01`  K4`  400`  EUR
0AES`  DA01成本控制范围`  DA01`  K4`  400`  CNY
DA02`  DA02成本控制范围`  DA02`  K4`  400`  CNY
GKR`  Kostenrechnungskreis GKR`  DE01`  K4`  400`  EUR
IKR`  Kostenrechnungskreis IKR`  DE02`  K4`  400`  EUR
CAES`  Kostenrechnungskreis ES01`  ES01`  K4`  400`  EUR
ESLI`  ABC全球财团成本管理控制范围`  ESLI`  K4`  400`  CNY
CAFI`  Kostenrechnungskreis FI01`  FI01`  K4`  400`  EUR
INT`  FJB1测试控制区域`  FJB1`  K4`  400`  CNY
CAFR`  Kostenrechnungskreis FR01`  FR01`  K4`  400`  EUR
G011`  G011成本控制范围`  G011`  K4`  400`  USD
HBY1`  WuHan HuBaiYuan Company`  HBY1`  K4`  400`  CNY
HHHH`  HDN有限公司控制范围`  HHHH`  K4`  400`  CNY
