TCODE [C(00040)]`PARAM [C(00508)]
/ACCGO/ABD_TYPE_SCEN`  /*SM30 VIEWNAME=/ACCGO/V_ABDTYPE;UPDATE=X;
/ACCGO/ACC`  /*SNUM TNRO-OBJECT=/ACCGO/ACC;
/ACCGO/ACC_CST`  /*SM30 VIEWNAME=/ACCGO/V_ACC_CST;UPDATE=x;
/ACCGO/AGR`  /*SNUM TNRO-OBJECT=/ACCGO/AGR;
/ACCGO/AID`  /*SNUM TNRO-OBJECT=/ACCGO/AID;
/ACCGO/AIER_MAINTAIN`  /*SM30 VIEWNAME=/ACCGO/V_AIER;UPDATE=X;
/ACCGO/APL`  /*SNUM TNRO-OBJECT=/ACCGO/APL;
/ACCGO/APP_OBLG_GRPS`  /*SM30 VIEWNAME=/ACCGO/V_OBLG_GT;UPDATE=X;
/ACCGO/APP_PLANT_GRP`  /*SM30 VIEWNAME=/ACCGO/V_PLNTGRP;UPDATE=X;
/ACCGO/ARFLINK`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_ARFLINK;
/ACCGO/ASGN_PRFCTYPE`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_PRF_CTYP_ASGN;SHOW=X;
/ACCGO/ASQ`  /*SNUM TNRO-OBJECT=/ACCGO/ASQ;
/ACCGO/AS_MD_STS`  /*SM30 VIEWNAME=/ACCGO/V_CMN_MSG;UPDATE=X;
/ACCGO/BACKDATED`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_BKDATED;
/ACCGO/BLKPP`  /*SM30 VIEWNAME=/ACCGO/V_PPBLKST;UPDATE=X;
/ACCGO/BRF_CATALOG`  /*OS_APPLICATION CLASS=/ACCGO/CL_BRF_CATALOG;METHOD=LAUNCH_BRF_CATALOG;UPDATE_MODE=S;
/ACCGO/CAK_TYP`  /*SM30 VIEWNAME=/ACCGO/V_CAK_TYP;UPDATE=X;
/ACCGO/CANL_PR`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_CANL_PR;
/ACCGO/CANREVE`  /*SM30 VIEWNAME=/ACCGO/V_CANREVE;UPDATE=X;
/ACCGO/CAS_STL_MAPEX`  /*SM30 VIEWNAME=/ACCGO/V_MAPEXP;UPDATE=X;
/ACCGO/CAS_STL_MAPOP`  /*SM30 VIEWNAME=/ACCGO/V_MAPOPT;UPDATE=X;
/ACCGO/CAS_STL_SPLIT`  /*SM30 VIEWNAME=/ACCGO/V_STL_SPL;UPDATE=X;
/ACCGO/CAT2ITM`  /*SM30 UPDATE=X;VIEWNAME=/castp/v_cat2itm;
/ACCGO/COMMON_UI`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/VC_COMMON_UI;
/ACCGO/COMPAPP`  /*SM30 VIEWNAME=/ACCGO/V_COMPAPP;UPDATE=X;
/ACCGO/CROP_SEASONID`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/T_CRPSSN;
/ACCGO/CUST_OPTN`  /*SM30 VIEWNAME=/ACCGO/T_OPCTCNF;UPDATE=X;
/ACCGO/CUST_PA_TYPE`  /*SM30 VIEWNAME=/ACCGO/V_PRASP;UPDATE=X;
/ACCGO/CUST_PCT_CAT`  /*SM30 VIEWNAME=/ACCGO/V_CONDTYP;UPDATE=X;
/ACCGO/CUST_VP_SPOT`  /*SM30 VIEWNAME=/ACCGO/V_VP_SPOT;UPDATE=x;
/ACCGO/CUS_PRASP`  /*SM30 VIEWNAME=/ACCGO/V_PRASP;UPDATE=X;
/ACCGO/DGR`  /*SNUM TNRO-OBJECT=/ACCGO/DGR;
/ACCGO/DGR_AUTO_SHIP`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_DGR_AS;
/ACCGO/DGR_BY_PROD`  /*SM30 VIEWNAME=/ACCGO/V_BY_PRD;UPDATE=X;
/ACCGO/DGR_HLR`  /*SM30 VIEWNAME=/ACCGO/V_HLR_EVT;UPDATE=X;
/ACCGO/DGR_PS_PLANT`  /*SM30 VIEWNAME=/ACCGO/V_PLT_SRV;UPDATE=X;
/ACCGO/DOCTYP`  /*SM30 VIEWNAME=/ACCGO/V_DOCTYP;UPDATE=X;
/ACCGO/DOCTYPD`  /*SM30 VIEWNAME=/ACCGO/V_DOCTYPD;UPDATE=X;
