FIELD [C(00020)]`VARBL [C(00080)]
/SCWM/AREA`  $/SCWM/AREA
/SCWM/ENTL`  $/SCWM/ENTL
/SCWM/LGNU`  $/SCWM/LGNU
/SCWM/LGTY`  $/SCWM/LGTY
ARBPL`  $ARBPL
BKKRS`  $BKKRS
BUKRS`  $BUKRS
BUNIT`  $BUNIT
BWKEY`  $BWKEY
CEERKRS`  $ERKRS
CFASPET`  $CFASPET
CONDAREA`  $CONDAREA
CONGR`  $CONGR
CSWRK`  $WERKS
DIMEN`  $DIMEN
EKGRP`  $EKGRP
EKORG`  $EKORG
FM_FIKRS`  $FIKRS
GSBER`  $GSBER
IWERK`  $IWERK
KKBER`  $KKBER
KOART`  $KOART
KOKRS`  $KOKRS
LGNUM`  $LGNUM
LGTYP`  $LGTYP
LOCPLANT`  $WERKS
LTRM_LOCAT`  $LTRM_LOCAT
PLANT_ID`  $WERKS
PLVAR`  $PLVAR
PRCTR`  $PRCTR
RCOMP`  $RCOMP
SPART`  $SPART
SWERK`  $SWERK
TM_XEGRP`  $XEGRP
TM_XEORG`  $XEORG
TM_XPGRP`  $XPGRP
TM_XPORG`  $XPORG
TM_XSGRP`  $XSGRP
TM_XSOFF`  $XSOFF
TM_XSORG`  $XSORG
TPLST`  $TPLST
VKBUR`  $VKBUR
VKGRP`  $VKGRP
VKORG`  $VKORG
VSTEL`  $VSTEL
VTWEG`  $VTWEG
WERKS`  $WERKS
